,prior_participation_open_house,prior_participation_instant_decision_day,prior_participation_on_campus_info_session,prior_participation_virtual_info_session,prior_participation_women_who_dare,prior_participation_regional_college_fair,prior_participation_hs_sharetime_info_session,prior_participation_challenger_program,prior_participation_cybersec_program,prior_participation_hs_info_session,prior_participation_hs_campus_visit,prior_participation_individual_campus_visit,prior_participation_workforce_development_class,prior_participation_corporate_training,prior_participation_teen_arts_fest,prior_participation_CCM_summer_camp,current_degree,motivation_computing_job,motivation_transfer_bachelors,motivation_hs_dual_enrollment,motivation_career_advancement,motivation_career_change,motivation_profession_development,motivation_job_displacement,motivation_relocation,motivation_keep_current_in_tech,motivation_IT_certification,motivation_financial,motivation_personal_enrichment,info_source_hs_guidance_counselor,info_source_hs_teacher,info_source_ccm_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_workforce_development,info_source_NJ_workforce_development,info_source_other
211,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
212,Not Sure,No,Not Sure,Not Sure,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Information Technology,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Don't recall,Yes,No,No,No,No,No,Don't recall
213,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
214,Not Sure,No,Yes,Yes,No,No,Yes,No,Not Sure,Not Sure,Not Sure,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Don't recall,No,Yes,No,No,No,No
215,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
216,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
217,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes
218,No,No,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No,No,ShareTime CSIP Program,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
219,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
220,Not Sure,No,Not Sure,No,No,No,Yes,No,Not Sure,No,No,No,No,No,No,No,Computer Science,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
